12:11:12 INFO | DatabaseHelper >> Подключение к базе данных 'studs' успешно
12:11:12 INFO | Main >> Загружено 1 элементов в коллекцию
12:11:12 ERROR| ServerNetworkHandler >> Ошибка в открытии порта: Address already in use: bind
12:11:39 INFO | DatabaseHelper >> Подключение к базе данных 'studs' успешно
12:11:39 INFO | Main >> Загружено 1 элементов в коллекцию
12:11:39 INFO | Main >> Сервер запущен на порте 19825
12:11:54 INFO | ServerNetworkHandler >> Подключен клиент /127.0.0.1:60646
12:11:54 INFO | ServerNetworkHandler >> AVAILABLE_COMMANDS-ответ отправлен клиенту /127.0.0.1:60646
12:12:03 INFO | ServerNetworkHandler >> Получен запрос от клиента /127.0.0.1:60646
12:12:03 INFO | Execute >> login
12:12:03 INFO | ServerNetworkHandler >> ERROR-ответ отправлен клиенту /127.0.0.1:60646
12:12:05 INFO | ServerNetworkHandler >> Получен запрос от клиента /127.0.0.1:60646
12:12:05 INFO | Execute >> login
12:12:05 INFO | ServerNetworkHandler >> AVAILABLE_COMMANDS-ответ отправлен клиенту /127.0.0.1:60646
12:12:25 INFO | DatabaseHelper >> Подключение к базе данных 'studs' успешно
12:12:25 INFO | Main >> Загружено 1 элементов в коллекцию
12:12:26 INFO | Main >> Сервер запущен на порте 19825
